Voltage (V)     ,Current (A) ,Timestamp (s)

-2.46468039e-06 ,      0.0   ,        0.0

0.00106920744   ,      0.001 ,        0.083

0.00213964353   ,      0.002 ,        0.167

0.00321592973   ,      0.003 ,        0.25

0.00428081304   ,      0.004 ,        0.333

0.00534908194   ,      0.005 ,        0.417

0.00643059472   ,      0.006 ,        0.5

0.00748899765   ,      0.007 ,        0.583

0.00850257184   ,      0.008 ,        0.667

0.00944513176   ,      0.009 ,        0.75

0.0103012742    ,      0.01  ,        0.833

