Voltage (V)    ,Current (A) ,Timestamp (s)

1.41862415e-06 ,      0.0   ,        0.0

0.00200451608  ,      0.001 ,        0.083

0.00404307898  ,      0.002 ,        0.167

0.0060631996   ,      0.003 ,        0.25

0.00808757637  ,      0.004 ,        0.333

0.0101062786   ,      0.005 ,        0.417

0.0121377483   ,      0.006 ,        0.5

0.0141493576   ,      0.007 ,        0.583

0.0161723159   ,      0.008 ,        0.667

0.0181966927   ,      0.009 ,        0.75

0.020208301    ,      0.01  ,        0.834

