Voltage Reading, Timestamp, Source Current, Reading Number, Resistance
+7.78769404E-02, +0.000, +1.0000E-03, +00000, 77.8769404
+8.27494711E-02, +0.083, +1.0000E-03, +00001, 82.7494711
+8.75720903E-02, +0.167, +1.0000E-03, +00002, 87.5720903
+9.23261121E-02, +0.250, +1.0000E-03, +00003, 92.32611209999999
+9.71937478E-02, +0.333, +1.0000E-03, +00004, 97.1937478
+1.02083698E-01, +0.417, +1.0000E-03, +00005, 102.083698
+1.06924132E-01, +0.500, +1.0000E-03, +00006, 106.924132
+1.11726202E-01, +0.583, +1.0000E-03, +00007, 111.726202
+1.16530813E-01, +0.667, +1.0000E-03, +00008, 116.530813
+9.9E37, +0.750, +1.0000E-03, +00009, 9.899999999999999e+40
+9.9E37, +0.833, +1.0000E-03, +00010, 9.899999999999999e+40
